"quartet" "cluster" "phylo" "mutual" "shared"
"mb49" 0.775202254956432 0.0630492678905619 0.480186020625802 0.217304212761827 0.137322770286437
"mb50" 0.709229044595588 0.066825924091623 0.185268791009921 0.192243671190813 0.0954563260318056
"mb51" 0.683923132016533 0.0821105534431551 0.0627136153291246 0.180731894223814 0.101467413868749
"mb52" 0.637231350361789 0.0843553376828316 0.0209102474781352 0.155874233950525 0.0789922107393153
"mb53" 0.746415856315426 0.0537801529779766 0.409760001719052 0.20553840467437 0.126235996465
"mb54" 0.714014274996335 0.073770931977602 0.2184121153204 0.193119385830694 0.131466349396522
"mb55" 0.790417292573012 0.048222588939055 0.5833772531062 0.231087598157957 0.134926330843955
"mb56" 0.887027111411771 0.0383600715952298 0.822831397937394 0.247921161702514 0.119975693819374
"mb57" 0.88009462782207 0.0518049475290104 0.729162589878304 0.252963555161313 0.155674491237945
"mb58" 0.856175514626219 0.0377871923412847 0.789487340469409 0.24270068179463 0.11937136162248
"mb59" 0.866534880755006 0.0360038493436592 0.76028317666917 0.228988370130896 0.105693506085525
"mb60" 0.962174308490718 0.0366655447555315 0.94787648227648 0.244750346343059 0.121476373847299
"mb61" 0.665827656361237 0.0674934162345583 0.135588203579484 0.166725010482641 0.0900722851445409
"mb62" 0.631564205914486 0.0700621771221927 0.05189883640898 0.151549735352262 0.0740402521266182
"mb63" 0.682081008903515 0.0640956393580728 0.208106313481999 0.181173296631057 0.106435855589506
"mb64" 0.808934714777182 0.0629890490727976 0.39337840969335 0.235673170096002 0.149011034652803
"mb65" 0.848245896363051 0.0404352696625321 0.729111782429785 0.252731854127489 0.121863973854722
"mb66" 0.819411614223587 0.058032533987798 0.568417568703535 0.232802733602232 0.143455219916422
"mb67" 0.807887782069526 0.0414127986570481 0.70831373353774 0.260954919296828 0.127802711581798
"mb68" 0.812745435756114 0.0290717654123718 0.833461534271553 0.189589150921741 0.0917819714658586
"mb69" 0.711116924256704 0.0693837713543213 0.260154000842904 0.195975269505145 0.141438612886363
"mb70" 0.854307937774232 0.0378853454266709 0.822934114332122 0.246118241582908 0.12167459422693
"mb71" 0.688483949570929 0.053736214127052 0.30191904124429 0.194836588977282 0.111090068771066
"mb72" 0.644510975040997 0.0664962124629215 0.113086923480717 0.16364010478894 0.079583202532104
