"quartet" "cluster" "phylo" "mutual" "shared"
"mb49" 0.817162004662005 0.027627690258438 0.84379974808568 0.179261690634503 0.086284791731458
"mb50" 0.653348256186668 0.057804421069348 0.280434812330282 0.14780417996486 0.0963727231707881
"mb51" 0.594150050883505 0.0778275709304952 0 0.139884754604799 0.0606943630926808
"mb52" 0.854227930144632 0.0352865248723063 0.822952506685382 0.227565971906154 0.112418079103624
"mb53" 0.776070954507059 0.052079653205504 0.480633770094115 0.202244104317462 0.125810123564161
"mb54" 0.770361091706212 0.0752404764563125 0.271275796739842 0.223899487641968 0.135419032680579
"mb55" 0.870928116469518 0.0421446376602908 0.778913502656445 0.270480329907959 0.131323633519968
"mb56" 0.907312503444095 0.0374647753675679 0.885442878023638 0.245297061082549 0.121277830199455
"mb57" 0.853852011676609 0.034995451770166 0.776519315119327 0.222543267706825 0.108250476404141
"mb58" 0.869648843215915 0.0381804034126795 0.800083025745489 0.244858031007103 0.119183221921266
"mb59" 0.976051845476178 0.0396968057491545 0.968729137899554 0.262069042120571 0.131607090853086
"mb60" 0.887170201758924 0.0403662961337156 0.791681644584936 0.257633464242407 0.125972740070224
"mb61" 0.783335712756085 0.0503296936121976 0.497679260384601 0.232789753952067 0.139436928234135
"mb62" 0.66673882081302 0.069366026015401 0.114667532099965 0.178878453296636 0.0858479713541116
"mb63" 0.699403488001457 0.0722586477332727 0.165676728151479 0.177711735763596 0.104163397550886
"mb64" 0.833086419753086 0.0350919879825091 0.802053912422448 0.226059971793695 0.108831892226661
"mb65" 0.695582603039728 0.087397401616377 0.0313851835724368 0.192063587356419 0.105542183911081
"mb66" 0.73164996100071 0.0531464534107424 0.386345990880062 0.197118205344296 0.1262908190201
"mb67" 0.749879573345567 0.0568853925099465 0.407279826091309 0.191799717633026 0.124709446586652
"mb68" 0.759401409303339 0.0410269718819197 0.579333397638849 0.189845681409698 0.113136446623714
"mb69" 0.84733893557423 0.0367303933710098 0.776571755840373 0.235231773151089 0.113001041773423
"mb70" 0.755964266946926 0.0383401012866504 0.64580230764549 0.23895864750464 0.111948506726931
"mb71" 0.80861275914939 0.0460046784500703 0.602510622064437 0.217456104485834 0.127343181501478
"mb72" 0.833338547695773 0.0638240092817735 0.488135830736822 0.241209077538332 0.162797964557569
"mb73" 0.652015254418092 0.0547820637990689 0.322177285441117 0.149795960470852 0.105187760518608
"mb74" 0.794328922495274 0.0363006221033318 0.673688580302394 0.222417976506138 0.10450267340539
"mb75" 0.692595322220536 0.0522691568857654 0.356096067721436 0.193180206913941 0.122394777164031
"mb76" 0.752116752162379 0.0634601061417721 0.333284791636204 0.209036756801265 0.13877452118278
"mb77" 0.66318429310946 0.0762321119920031 0.093664271249523 0.165967521067231 0.0868788948052757
"mb78" 0.914707857622565 0.0406813734815117 0.799979243563628 0.258365767249557 0.126719488306657
"mb79" 0.924319448999672 0.0263179308865851 0.937458275799107 0.175661603227765 0.086040581199006
"mb80" 0.788241966231867 0.069088883103226 0.31311364172964 0.222940071916708 0.141643778246871
"mb81" 0.569118794423541 0.0695418533252613 0.0308041485722655 0.128882931908633 0.0612000654791017
"mb82" 0.691436325105579 0.0739997909452578 0.13541807439397 0.174453605585725 0.0949161762703018
"mb83" 0.803014772384685 0.0358278784103501 0.708241326121109 0.222963059851653 0.105509830445171
"mb84" 0.711988838153222 0.0641471632291562 0.239633345332716 0.1819759764634 0.105253860357026
"mb85" 0.637683463591786 0.0463432798351519 0.384751860563067 0.14959337072955 0.0982900403037305
"mb86" 0.634845451810862 0.0759586416632106 0.0312039342754109 0.154078746469072 0.0736020704998587
"mb87" 0.704996231127083 0.0682654466677917 0.200016085176337 0.178684885985827 0.110342157097345
"mb88" 0.68540374741615 0.0780552108047101 0.0628305208472831 0.181718208031501 0.103919723575743
"mb89" 0.625821629794037 0.0757085611205517 0.0211014875185562 0.148962959007707 0.0742579029259625
"mb90" 0.663853200574383 0.0817133518356473 0.0104583284419014 0.174277238461823 0.0768027481336106
"mb91" 0.63327896035266 0.0669114609316113 0.0833787821306506 0.160898864983164 0.0774128794108734
"mb92" 0.661604563300985 0.0274391866112735 0.694546756845854 0.170171351534488 0.0780596671064768
"mb93" 0.851108697041345 0.032363922297931 0.819201934771269 0.209387178174215 0.101863214345485
"mb94" 0.619208969377999 0.0758437434889641 0.0208903953365838 0.145741826782872 0.0689959063938013
"mb95" 0.711915279193567 0.0725176156924808 0.179087588546409 0.198532629224281 0.101224241882842
"mb96" 0.722199338045065 0.0725575837357216 0.197231369717701 0.194391013542149 0.11116330514156
"mb97" 0.760725658205342 0.0558380476858431 0.391798918317107 0.210814635945661 0.131285994238963
"mb98" 0.733717739772657 0.0547486326263262 0.349162081891815 0.205199482003588 0.127733352892678
"mb99" 0.567129329024997 0.0684926575197486 0.0410831416983318 0.128806146337704 0.064375324262203
"mb100" 0.785773652860507 0.0295585002972575 0.778861611565515 0.18972603326631 0.0880322851744548
"mb101" 0.626067671210283 0.0567437118373097 0.238885882151132 0.138889937013932 0.0858918579379522
"mb102" 0.67188979767542 0.0468078529050309 0.445384059088452 0.154967549285535 0.106324667694686
"mb103" 0.63257613852511 0.0756645520827438 0.0105648083524045 0.157019582570425 0.0636148362988997
"mb104" 0.694292006148815 0.0684125658171556 0.157988325174764 0.188371308191503 0.0901462682804691
"mb105" 0.585842806102733 0.076756362308724 0 0.136890837559785 0.056917901563959
