"quartet" "cluster" "phylo" "mutual" "shared"
"mb49" 0.721572196221182 0.0511202421894772 0.412875648576667 0.205166320348902 0.141195665551345
"mb50" 0.918473985841106 0.0379469492264117 0.854098015308581 0.257121654634143 0.128759666075814
"mb51" 0.870664551242142 0.0496331193886639 0.697688857223124 0.247378626525707 0.153797952981566
"mb52" 0.753413890414591 0.0623631175097335 0.300099074021006 0.238134222426302 0.157626113486228
"mb53" 0.688863188669323 0.0775451027202748 0.0732259016601611 0.193912844989075 0.106329618328212
"mb54" 0.947463768115942 0.0335700916358379 0.927023327236709 0.234714769657493 0.115338478253873
"mb55" 0.784230866314443 0.0753528397400837 0.333360228272186 0.235559590445488 0.162216170287378
"mb56" 0.952876260544175 0.0328672605587904 0.927074688071872 0.230567409412783 0.113770229048461
"mb57" 0.759542310367911 0.0781463264244571 0.281023658621779 0.226961160587723 0.145689089314665
"mb58" 0.910647510332612 0.0380160345244922 0.864625975945093 0.260942896421562 0.129326365319127
"mb59" 0.925147446354624 0.0336215142917116 0.841982157668357 0.23069207620297 0.110420409325602
"mb60" 0.665368730767154 0.0804886233087861 0.0932233290283045 0.180476557417046 0.107177417164851
"mb61" 0.856890904509952 0.0381701435793066 0.768448094839455 0.258421919534104 0.125966317802116
"mb62" 0.741711205442132 0.0780105166981914 0.144663018852322 0.232907574656495 0.138066764887245
"mb63" 0.889634040585073 0.0355089423217413 0.843672776342396 0.242315090418082 0.12078149315178
"mb64" 0.784321310231071 0.0600696021802927 0.470325985103897 0.217464116818786 0.138851667309337
"mb65" 0.77772876008874 0.0798741171275334 0.300993888463055 0.231234288732842 0.163874228158911
"mb66" 0.61873283351263 0.0887063787757144 0 0.165777915733128 0.0682957462396826
"mb67" 0.687608001688454 0.0832449297560893 0.0418602343669012 0.190665555492997 0.107451785124758
"mb68" 1 0.0384358459554523 1 0.272805742359752 0.137852733243488
"mb69" 0.893267486393872 0.0386121413297014 0.822925020080355 0.26447350712416 0.130639169769912
"mb70" 0.654933568294736 0.0910472623191447 0 0.173669543503142 0.0648446332735538
"mb71" 0.774802393627829 0.0848832299092103 0.230600299298006 0.229748132852624 0.149304870439244
"mb72" 0.796285230554726 0.0412339612956899 0.645952761831037 0.264531711311423 0.129224382372229
"mb73" 0.839903543719857 0.0484906813503962 0.666646438258374 0.245570912680851 0.154848190221719
"mb74" 0.693457177022515 0.0797708064198007 0.0511744237197563 0.199115472101489 0.110501629392471
"mb75" 0.858621009651076 0.0418601517848264 0.736702804193691 0.274848748399638 0.137695906506875
"mb76" 0.767523340619829 0.0568788845043759 0.396442063726927 0.220122975811263 0.144980313859344
"mb77" 0.732204253151662 0.0799825798803899 0.207911317629569 0.213724958450809 0.132216437079228
"mb78" 0.826601256246848 0.0560427446873264 0.542255109534478 0.231463825416845 0.143331472122496
"mb79" 0.795646578255274 0.0335232276611145 0.768499994070921 0.231251144302344 0.112198335508241
"mb80" 0.792426281659122 0.0338394249898902 0.729046508549531 0.224285903530501 0.108050491185442
"mb81" 0.814603862830114 0.0461893223738197 0.599964036713758 0.230058337351397 0.135361050823342
"mb82" 0.821766909010795 0.0367023390257795 0.712659601021094 0.239981121799688 0.116368845341836
"mb83" 0.733200859483951 0.069024820399326 0.177247994919036 0.228105949254524 0.138379726923599
"mb84" 0.824815577856051 0.031476333366809 0.770798825249432 0.20854865855615 0.101031326399551
"mb85" 0.659921631829698 0.081115867181112 0.031378216549025 0.176564007451624 0.0946804307404635
"mb86" 0.684225587218314 0.0593418239991841 0.176714959492572 0.182718933659531 0.109046844934227
"mb87" 0.635651845926196 0.0787293113592784 0.051723436652499 0.166965667865399 0.0937728703481874
"mb88" 0.705205539170548 0.0808691094777582 0.167972818287153 0.200553478265277 0.126133870270388
"mb89" 0.771328082195816 0.0635649084932313 0.437428342965892 0.224827972317862 0.159658343306365
"mb90" 0.666475634567872 0.0800495994630058 0.0313856111352313 0.178383336861162 0.0934950573717681
"mb91" 0.699074074074074 0.032314769406189 0.641342404955809 0.214481107640468 0.102356025599113
"mb92" 0.746515216459494 0.0837046968963421 0.155455926765468 0.21481180641657 0.123065320756184
"mb93" 0.753908905506458 0.0314845179761344 0.718775352088837 0.207096020072171 0.1007170978531
"mb94" 0.695993531042014 0.0544875678231501 0.258403998814751 0.187486107662615 0.115618399431291
"mb95" 0.651574016290803 0.0899876728465206 0 0.172874827016162 0.0697438015849642
"mb96" 0.742007715159846 0.0428858712965371 0.44554913612457 0.201829001505364 0.125165746774065
"mb97" 0.65372671523955 0.0732566039540905 0.0513019680529699 0.175477414184151 0.0803630747505881
"mb98" 0.671327894986922 0.0818002887650305 0.0313856111352313 0.183337317683663 0.0978167346265919
"mb99" 0.669767369479669 0.0771875676335667 0.104541426913316 0.178718735918355 0.105098673070244
"mb100" 0.863066375093758 0.0555667655820487 0.644481726950444 0.230844202236739 0.162528979615928
"mb101" 0.673912295786758 0.0532913368049435 0.218614702618454 0.180990255763256 0.107596529763613
"mb102" 0.750206390753694 0.0597892951329166 0.384086150554672 0.207995652940584 0.141646875340302
"mb103" 0.722318144283462 0.0260127493343127 0.635939576937254 0.172530254574243 0.0809175129736992
"tnt1" 0.598555745954713 0.0830994788762738 0 0.153479198663192 0.0637322277989631
"ufb1" 0.688661383271756 0.0814182804474537 0.0627122189913858 0.194319955656161 0.112602093532977
"ufb2" 0.796192852106947 0.0367150203066561 0.662999068155428 0.238879361266539 0.114800896003398
"ufb3" 0.713395369829555 0.0772227721348363 0.0935622481149262 0.209055707590386 0.111770487514801
"ufb4" 0.768019891754457 0.0542085723107876 0.46871766231391 0.222312096012913 0.143547063896744
"ufb5" 0.732606338881449 0.0324629903216317 0.616896951039778 0.209538784287568 0.0973316645643288
"ufb6" 0.806535147605819 0.0404710317995568 0.608597913141696 0.198574286699409 0.120144912220323
"ufb7" 0.679810509222177 0.0712228259575696 0.0834877274731199 0.186340946183258 0.0974310034355116
"ufb8" 0.717392646241847 0.0419876228510927 0.532571783032422 0.208585175305902 0.129237237564208
"ufb9" 0.73458904109589 0.0386787730632638 0.557796326515897 0.187563038312369 0.105071757691865
"ufb10" 0.75867902324213 0.0515280544494113 0.467331620084697 0.211848922290264 0.140428511239154
"ufb11" 0.66591207221967 0.069713763646156 0.094247699990167 0.177995135442769 0.101423338826952
"ufb12" 0.801006359080013 0.05709067931637 0.519468790405173 0.233231310207397 0.15621769760598
"ufb13" 0.737445454326286 0.0688649266635309 0.208923315969883 0.229825405685981 0.144852012410892
"ufb14" 0.630218829248039 0.0791223551710782 0.0209121066531634 0.166781951792584 0.0764109516596516
"ufb15" 0.734306427757438 0.0367004912504577 0.614572920715358 0.180991673999641 0.101654091251229
"ufb16" 0.691938636498253 0.0307659689972551 0.670181202764342 0.203273036783548 0.0972108522581054
"ufb17" 0.715323809131706 0.04147494926492 0.521694130068441 0.203214752062304 0.124463674716529
"ufb18" 0.752055196711685 0.0273008089379752 0.74732714996377 0.18187413433071 0.0858875863528765
"ufb19" 0.679672346002621 0.0427572367266904 0.425294712101906 0.165018992703863 0.10549398341924
"ufb20" 0.621433154389935 0.0812421517488711 0.0104577148372131 0.158441136241467 0.0885480073596304
"ufb21" 0.792804499612102 0.0465397997504403 0.561957527995098 0.230172702357232 0.138861690164935
"ufb22" 0.581830768262581 0.0766078776732581 0 0.155870740826321 0.0866721001735383
"ufb23" 0.574100555044953 0.0751310052364768 0 0.152360442013981 0.0730718593322203
"ufb24" 0.759861245216894 0.0509046775068053 0.424354359401445 0.239519883430614 0.146466237530837
"ufb25" 0.678078269169583 0.028781412324638 0.631674546141585 0.186090687757951 0.088177089032569
"ufb26" 0.669174903741164 0.0622865755986051 0.126985375607578 0.173636270485872 0.0962991274473277
"ufb27" 0.613473424765438 0.075296817326611 0.0308619170240111 0.155622360527003 0.0682135754324899
"ufb28" 0.752552666213624 0.0675666494905796 0.326228787485043 0.212846564258139 0.138928052304642
"ufb29" 0.741435455237129 0.050438800193263 0.421074384300636 0.203176034680134 0.121632884035545
"ufb30" 0.8006387894713 0.044349492034269 0.584875096543139 0.21434870495357 0.123273683694021
"ufb31" 0.696048094479883 0.0752517476319974 0.0514741699359515 0.201499810303517 0.103086642879638
"ufb32" 0.673499606893912 0.073575668440294 0.12420716496109 0.179873300974407 0.102314033581821
"ufb33" 0.734640646538909 0.074061637859496 0.207834342273186 0.210592424788777 0.119776102530361
"ufb34" 0.673390681959634 0.069909108934047 0.0931895790666042 0.181252741338097 0.0943198356291707
"ufb35" 0.741484169206136 0.058569056042927 0.415515474978001 0.211537761625609 0.145938876160499
"ufb36" 0.598359556746305 0.0744106209802071 0.0204509030899344 0.151277916814689 0.0671643302442929
"ufb37" 0.735285979682991 0.0459518992368958 0.455059674583697 0.216816640730338 0.130802213209635
"ufb38" 0.654850510024622 0.0515885802516248 0.210209553944978 0.171431398969015 0.104193783115536
"ufb39" 0.654583365894898 0.0637064996452584 0.114062007503577 0.174114713835673 0.0973662453367439
"ufb40" 0.617559458042488 0.0851069226325904 0 0.160170884030514 0.0612441304370124
"ufb41" 0.614774457242595 0.0855305108791887 0 0.16233935545228 0.0636303639738557
"ufb42" 0.649450224731333 0.0773834922968395 0.0934419837218242 0.172892866089316 0.102776966405027
"ufb43" 0.608884620002401 0.0574680883150481 0.187517650213148 0.151554745430688 0.0900078722782255
"ufb44" 0.593707147195319 0.0818731568705849 0 0.154526673841023 0.0647185751274649
"ufb45" 0.69967196951023 0.0486020173852901 0.315814711078064 0.223008361879654 0.12922055620198
"ufb46" 0.759905631843204 0.0327490299946129 0.673654711476311 0.215352630035676 0.103396093956358
"ufb47" 0.666955954207899 0.0649605635635384 0.124338501497379 0.179765800328544 0.10446165185074
"ufb48" 0.764231357242298 0.0702704083345861 0.315610660081493 0.2213256952564 0.15525486033584
"ufb49" 0.697522073483338 0.0355454865682733 0.572925970890418 0.174785847250441 0.0993043241500319
"ufb50" 0.586759600183676 0.0810372675667443 0 0.150595516718613 0.0685458933164187
"ufb51" 0.679426868699677 0.0416495256347634 0.510426932940783 0.165803026472915 0.112297232224519
"ufb52" 0.70771528024999 0.0562615687165829 0.261077451072227 0.212011026579109 0.128559240328776
"ufb53" 0.701809755334727 0.052711931252132 0.352749637411278 0.182816651588489 0.120343121681777
"ufb54" 0.617273516151199 0.0831434102433964 0 0.153713531370915 0.0545589546625175
"ufb55" 0.604243199054499 0.0853378884387467 0 0.158804334446949 0.0630479758129392
"ufb56" 0.62617149315738 0.0739089084782643 0.0410969178386558 0.161243722987682 0.0674204165276405
"ufb57" 0.611360111855156 0.0801064067782997 0 0.152160021029994 0.0716933805941227
"ufb58" 0.695833016789486 0.047276204856465 0.336844345988616 0.212151565946029 0.120406506202599
"ufb59" 0.551219701764321 0.0687974344167765 0.0308113507783368 0.133705308479265 0.0656916377343273
"ufb60" 0.636296159867391 0.0871900120184076 0 0.163399680521011 0.053382973925961
"ufb61" 0.762026561731431 0.0462587469628659 0.484084034001957 0.215644715125928 0.133561931614914
"ufb62" 0.699859869533704 0.059263794446787 0.290522090057242 0.186202930468933 0.119105255069268
"ufb63" 0.668683377674911 0.0745350266118335 0.0523460360762569 0.177927967709297 0.0927996264143359
"ufb64" 0.617352407938685 0.0780396655631095 0.0104606425149009 0.158095356050507 0.0870395090598609
"ufb65" 0.681384940052411 0.0368928957566483 0.520496527063178 0.178169427338995 0.0981260555284048
"ufb66" 0.701976538250304 0.0643721139824989 0.137105493738589 0.209067007533837 0.124373565441285
"ufb67" 0.698685219472966 0.0474581898177412 0.357915935794028 0.218066188383582 0.123535888595606
"ufb68" 0.85738449021539 0.0431549187652955 0.696279888133716 0.217283844322123 0.134905532136664
"ufb69" 0.746209720158366 0.0512648309082868 0.46719902286742 0.210782842020706 0.133524802790234
"ufb70" 0.757651918093791 0.0445432134471453 0.5262179945725 0.216496421004873 0.127165415186722
"ufb71" 0.755075863079968 0.0508809440152015 0.410631050973967 0.239306277829958 0.141698991240952
"ufb72" 0.661476700910219 0.068744556532132 0.0719356379922905 0.180667760683 0.101221577477753
"ufb73" 0.695037389904451 0.0737141296930366 0.167895395744562 0.192793670843858 0.117014084895652
"ufb74" 0.616540501859649 0.0783450471269625 0.0104590038618256 0.154813055370021 0.0842586172669037
"ufb75" 0.747570764681031 0.0490275662497228 0.43946294356444 0.238814550702099 0.142045169117972
"ufb76" 0.649599857058221 0.0590248438123297 0.155692312452557 0.177860633948861 0.108049047719998
"ufb77" 0.661580649697652 0.031220108428495 0.542478994319257 0.193605383921315 0.0886178620406919
"ufb78" 0.546885897562538 0.0684561448564209 0.0101018208324419 0.129505887442819 0.0543388467940157
"ufb79" 0.583635488146627 0.0780926060979711 0 0.146728977893997 0.0625990880156236
"ufb80" 0.838530443233194 0.0430395992944308 0.664860566216514 0.215622416353405 0.132683788501685
"ufb81" 0.756483219309398 0.0523941466497899 0.410470692827791 0.210690015583887 0.130512465926681
"ufb82" 0.691561331671711 0.0378709407342714 0.510366564581954 0.178695232362915 0.108512680033347
"ufb83" 0.683597526082501 0.0808662647097625 0.0828254458372723 0.185812703368588 0.0990051572236398
"ufb84" 0.623790134917534 0.0757500998107996 0.0209150073247841 0.162249654885106 0.0707064360561475
"ufb85" 0.649431437257088 0.0857588426446935 0 0.1695980537755 0.07094401678969
"ufb86" 0.663444040036397 0.0350081071047032 0.508181057442564 0.169947730574407 0.0933825081088443
"ufb87" 0.60181839124083 0.0839925500760344 0 0.156914157259048 0.0608571584838155
"ufb88" 0.73419511116842 0.0639637379706461 0.314664470720175 0.200077500167479 0.135642553324538
"ufb89" 0.712933753943218 0.0261339745320418 0.739523108350879 0.173808021502647 0.0835805998627437
"ufb90" 0.713939077198746 0.0461061605933357 0.397149347764155 0.219295705426122 0.131915379227643
"ufb91" 0.661467696663613 0.0563233710831257 0.146755541016317 0.168541673544309 0.0939723174823032
"ufb92" 0.641643305106789 0.0568012266494737 0.145374404588223 0.168837922341811 0.101654334678134
"ufb93" 0.720966262358577 0.0399662624703684 0.531160378970738 0.19364885680865 0.120798787284021
"ufb94" 0.760482286798076 0.0316246794153729 0.691314907760298 0.205221200616946 0.0972519398340614
"ufb95" 0.854288775445894 0.0437886413061798 0.673390358016121 0.218961911385246 0.137768951542631
"ufb96" 0.642991778624423 0.0511339477203425 0.229424791173575 0.172604279323604 0.0994556458076471
"ufb97" 0.645374022111592 0.0381769481432459 0.386649322457218 0.175959489000513 0.104642329369201
"ufb98" 0.742277140335393 0.051820307164112 0.442117921089565 0.209280553373283 0.137676920239151
"ufb99" 0.766900010448229 0.0531989261306335 0.46871766231391 0.21741756054081 0.138568887330298
"ufb100" 0.781345090976837 0.0324747871653873 0.718569908748183 0.211984459993567 0.101839674441256
"ufb101" 0.592568426369459 0.0823532286301774 0 0.154037390448524 0.0611305071666028
"ufb102" 0.70719414771076 0.065755563731298 0.259484558103143 0.18978000493082 0.123389206436555
