"quartet" "cluster" "phylo" "mutual" "shared"
"mb49" 0.650231425926561 0.0751979856243788 0.0404900154057887 0.161781621695527 0.0887815680994004
"mb50" 0.780470773735781 0.0631526297784674 0.331320966328326 0.231254814162219 0.144163652374347
"mb51" 0.858690251416079 0.0444700408289227 0.705183409481307 0.281581165886923 0.136438886181801
"mb52" 0.820326166694882 0.0345759596737867 0.747366782386602 0.2220331004208 0.104730316204929
"mb53" 0.858100300439103 0.0393741914333938 0.749884456059067 0.251877099249559 0.120924654554157
"mb54" 0.870961566074762 0.0368608911288431 0.833273421660257 0.242916209187732 0.119165628145568
"mb55" 0.792216773544574 0.0326440280769332 0.760410782484489 0.212019055358724 0.0993461461996064
"mb56" 0.864595268585294 0.0298016671380309 0.864492930898066 0.198636075942448 0.0953038432470716
"mb57" 0.765959918675574 0.037963257429031 0.641184967263034 0.239150118019639 0.112948494246656
"mb58" 0.631170696961283 0.0642402117054432 0.104399619136143 0.162045998960241 0.0920108883247136
"mb59" 0.693465430656491 0.0744656403100838 0.134381206108222 0.185627365489011 0.106632018565902
"mb60" 0.710403236000506 0.0651616198445807 0.196985970921094 0.19639599182338 0.112527933524611
"mb61" 0.952899617309391 0.030740433976795 0.926269906824861 0.208517256429901 0.101356771135626
"mb62" 0.988844855423455 0.0393896167782285 0.97920411146234 0.268366075850375 0.135198693455924
"mb63" 0.674545513404522 0.0742945729067217 0.0923434715746354 0.178984197157605 0.102951179744025
"mb64" 0.825341543543436 0.0465295075888419 0.676893663580231 0.227833703482352 0.139200780413048
"mb65" 0.848225507211682 0.0315295402852806 0.822798448097471 0.208252669107839 0.100604035578063
"mb66" 0.716521080567625 0.0559597510942904 0.384074451023421 0.192297717779993 0.122412521628499
"mb67" 0.766841766620891 0.0599481916566074 0.395710763936863 0.231801842144211 0.157836603515896
"mb68" 0.576590208807536 0.0768050637954163 0 0.1396088668639 0.0770278018065246
"mb69" 0.882737348389795 0.0415781409064303 0.781258023884787 0.266722300043785 0.131751908657172
"mb70" 0.753224458449098 0.0550839169087061 0.384011197560518 0.204882759820503 0.138812328656771
"mb71" 0.785135835959628 0.0483484552064945 0.552034525807291 0.229925737564486 0.135257767407477
"mb72" 0.740505045383094 0.0638123851598257 0.244658046475949 0.213767538266247 0.132253011774746
"mb73" 0.619568599589436 0.079586115630531 0.0311728423327042 0.146263032697542 0.0814469295689333
"mb74" 0.788033298647242 0.0377525132813463 0.718767652546532 0.244140087376855 0.117295709455769
"mb75" 0.711029140983923 0.0701354203692378 0.229074406007789 0.177926275052446 0.114207899838721
"mb76" 0.714010707590019 0.0664927438681372 0.291649083391464 0.178400528332607 0.125857603761801
"mb77" 0.833017175083312 0.0388155650128058 0.708344031846383 0.246452298659217 0.117872754547069
"mb78" 0.672645592199947 0.0752069649986144 0.0938203182365734 0.175743360288935 0.0997466736732761
"mb79" 0.870717517776341 0.038693241248704 0.770834403184638 0.250126971276248 0.120151774964109
"mb80" 0.866092251878725 0.0294858272211604 0.864492930898066 0.194754282332887 0.0951434531638281
"mb81" 0.696113934451173 0.0712242342632498 0.165530016589709 0.188328565273658 0.116243653534455
"mb82" 0.71075322596779 0.0690992019718305 0.217500854236601 0.200395799524722 0.127523518731343
"mb83" 0.613594226764179 0.0705283059772095 0.0514194758059797 0.150068385712358 0.095063339085363
"mb84" 0.713710422520852 0.0562348201154852 0.311164493934965 0.187025890545572 0.127331127537024
"mb85" 0.740616802962506 0.0512380420021412 0.441992060116515 0.201586828888183 0.128366200373824
"mb86" 0.769844085519559 0.0457317490303491 0.494792988575883 0.21191540268125 0.124940369187704
"mb87" 0.722599418040737 0.0310794713601712 0.656277281208276 0.195038657754784 0.0909663331579667
"mb88" 0.600282270633464 0.0689691360584374 0.0420897302997709 0.14310926560228 0.0865750031934313
"mb89" 0.707778359910565 0.0557645778797653 0.37499095154916 0.184929271157269 0.118039350998681
"mb90" 0.690031784760959 0.0693950769090411 0.187349311945929 0.1676671108192 0.0964804972020183
"mb91" 0.567518890364947 0.0747955605005733 0 0.133600473934106 0.0685094189485024
"mb92" 0.725213165650521 0.045972208065274 0.431706221543771 0.20792393061475 0.121447254591509
"mb93" 0.612903042391519 0.0769362032918016 0.0311805008745602 0.14119342644541 0.0759992309095454
"mb94" 0.587456960930744 0.0674049555566213 0.0313400439945017 0.137543899194553 0.0797140689585036
"mb95" 0.784537996287203 0.0336052122285086 0.718716299683894 0.214712918632645 0.101834831000908
"mb96" 0.621415424013658 0.0696894571548272 0.0104635436870532 0.146857522269469 0.0630978260806996
"mb97" 0.73220359450158 0.0509026317444432 0.404633810098261 0.195533651466487 0.125051148594376
"mb98" 0.696935628222102 0.054614486491729 0.343639156477204 0.175644222072144 0.117242558560868
"mb99" 0.753826094391245 0.0452812556726089 0.457395781224741 0.203699687943777 0.115965042876441
"mb100" 0.791762537495031 0.0471085669438363 0.604024816690977 0.189633059490215 0.126830977757086
"mb101" 0.60410497241804 0.0619039805160322 0.0730288809326565 0.14758814259365 0.0794452432182307
"mb102" 0.701675086413188 0.0229951278062154 0.674103709029839 0.151335786248664 0.0699080099307339
"mb103" 0.57969009664751 0.0686853360154639 0.0313455276302534 0.134187805441607 0.0799600658227605
