"quartet" "cluster" "phylo" "mutual" "shared"
"mb49" 0.833633985749076 0.0388205729174632 0.768328741111924 0.249239514891572 0.123977151239991
"mb50" 0.722674142189547 0.0764069561492882 0.218645500682291 0.195690117343551 0.121563581794135
"mb51" 0.719414720247109 0.0511971209174846 0.437001162759488 0.201437216766768 0.124718788625826
"mb52" 0.823278762054272 0.0354365295641382 0.739512188221555 0.223854625414194 0.108445047676606
"mb53" 0.693934660939737 0.050779831691093 0.366512786584843 0.185112552794545 0.115764214370512
"mb54" 0.81670573437768 0.0354541742666039 0.781360729610061 0.229640257155061 0.108848960319516
"mb55" 0.801798132037592 0.0597573807619036 0.506059296186704 0.236622567455552 0.166889825110578
"mb56" 0.9046490004649 0.0403967247422851 0.850977916265521 0.267925559575216 0.13341690036447
"mb57" 0.978369384359401 0.038237361127397 0.989576379299851 0.259259233638336 0.131024826779287
"mb58" 0.822264719517849 0.0369318376018 0.749987161784341 0.22856717391898 0.110717794205652
"mb59" 0.669814805813445 0.0606414672662623 0.218147727695841 0.174876889789413 0.106410823981098
"mb60" 0.728118864420271 0.0513657649783288 0.435864209267323 0.198805348779673 0.128134042937065
"mb61" 0.613285949402118 0.0603805596211311 0.145330615388388 0.153599331662331 0.0964728234965809
"mb62" 0.855702783237177 0.0313763186881981 0.854120663060554 0.207009518558776 0.101666224773982
"mb63" 0.661586449579653 0.0789843013120767 0.102327947081191 0.17186765942295 0.101105777375584
"mb64" 0.683501218659985 0.0815693451327143 0.0930304859461966 0.182935056634943 0.106314354939569
"mb65" 0.897684839432412 0.0372982660224479 0.822798448097471 0.238612610385905 0.116287512437525
"mb66" 0.635086089081453 0.0876798803616926 0.0102420985112343 0.163817983246859 0.0647746906389646
"mb67" 0.842559271803556 0.0405829671770964 0.739666246809466 0.257735580706271 0.124195990952442
"mb68" 0.735915140598419 0.0481172799675305 0.520938362186843 0.224548792911106 0.132687866741368
"mb69" 0.730981761537922 0.0710877075686746 0.239508604413721 0.1929730661712 0.129762379778995
"mb70" 0.866475759190197 0.0309324422970927 0.852591704740653 0.203938475248571 0.10064024220189
"mb71" 0.721731950250297 0.065753626865219 0.353099476737647 0.20387190282301 0.142035079294743
"mb72" 0.758221603845181 0.0299443470506977 0.736885803023942 0.192404954545515 0.0919659115340285
"mb73" 0.604552099768197 0.0778462998145356 0.0308041485722655 0.147554248429402 0.0621007003034681
"mb74" 0.80455530183266 0.0347835269977873 0.747263000204741 0.218507124510215 0.106832397240045
"mb75" 0.759820160908661 0.0442855156136132 0.552034525807291 0.201955962351014 0.120496786693685
"mb76" 0.72040072343393 0.0746673501196293 0.259467694848265 0.196161475688155 0.125427916822948
"mb77" 0.676274909384358 0.0764131025939042 0.144392213683506 0.183846058255524 0.121684102958956
"mb78" 0.692155004258359 0.053392908472892 0.342955754939083 0.178186929341649 0.105867275994694
"mb79" 0.707618414553646 0.0769297034101383 0.207476183575072 0.194406661681714 0.121421657439034
"mb80" 0.759149498339701 0.0453459408225592 0.560332099549045 0.218780466399101 0.125396949911678
"mb81" 0.825245608812146 0.0351062463325903 0.715664388843967 0.22110556935573 0.10656373699019
"mb82" 0.766800689259047 0.0337784538611633 0.705339082754099 0.217091279412466 0.102661786094145
"mb83" 0.672093730979915 0.0553685705033995 0.26420815670723 0.177782782579241 0.11416586919927
"mb84" 0.701760310389424 0.0562147211957762 0.354138013239005 0.18556822836185 0.118969816917406
"mb85" 0.726541635408852 0.0646406787734282 0.302077614082104 0.191691853427879 0.129187614271431
"mb86" 0.707228018930191 0.0568956036882445 0.311019436533229 0.183068159500291 0.114487608214166
"mb87" 0.632328441647034 0.0743050180659353 0.0718635900727259 0.157978069039686 0.0767718188530139
"mb88" 0.64564278216211 0.0788696422234814 0.0625037724675025 0.166014357502438 0.0836929869998907
"mb89" 0.886186596895998 0.0316190664982119 0.864544283760703 0.207148578302649 0.101454074383692
"mb90" 0.706875609464014 0.0771156436502299 0.17691958564791 0.184603938309954 0.102593556556472
"mb91" 0.717099536211202 0.069432649664492 0.290645589653257 0.197350432638282 0.126966165270212
"mb92" 0.681470106045199 0.0422962793387399 0.436097404712492 0.186634601287376 0.106486090149168
"mb93" 0.624778604397017 0.0843660956127417 0.0103347355662886 0.158018645027762 0.0626405588634998
"mb94" 0.822486360093531 0.0295225934810543 0.83322206879762 0.193329805592013 0.0944392313421593
"mb95" 0.766448993030785 0.0336366555951716 0.755230446014402 0.219079038758603 0.106586731508098
"mb96" 0.611379600572841 0.0713273464310576 0.0422592334096182 0.146210024995894 0.0716012215561795
"mb97" 0.590479688786554 0.058441341367465 0.0930743732746955 0.139002675996564 0.0729260104948084
"mb98" 0.695810707714401 0.0508651641824099 0.395842973622943 0.19470977857578 0.120299729310299
"mb99" 0.702087080904185 0.0422507087220917 0.489263765630962 0.185935060543353 0.106370922331905
"mb100" 0.710597850676686 0.0680882226406749 0.269764827759078 0.192042404118766 0.118450769424268
"mb101" 0.680342260800752 0.0672463607062186 0.216895883317921 0.185717479399198 0.118164379898887
"mb102" 0.593730725612304 0.0744392525639786 0.0307810865538655 0.141806783392679 0.0614265293254941
"mb103" 0.605627238619114 0.0797806501801315 0.0101995160631008 0.148291318837594 0.0602353743783336
"mb104" 0.636163377696191 0.0782792901505038 0.0421872494537052 0.16013814064248 0.0783745446858516
"mb105" 0.676849801642218 0.0488645780399948 0.354140500166297 0.180902542719447 0.10479592957258
