"quartet" "cluster" "phylo" "mutual" "shared"
"mb49" 0.738395086724708 0.073562699538495 0.231767995462492 0.212317005418055 0.125651118825865
"mb50" 0.716043087513545 0.0301871652816973 0.709561150479335 0.188475823369455 0.0886411217134755
"mb51" 0.777060046652523 0.055028889885599 0.472163330728143 0.210459603952841 0.140018483947769
"mb52" 0.753186146139694 0.0602628481903234 0.411359628416432 0.204023126508824 0.132303722785092
"mb53" 0.875504642712959 0.0388307759060108 0.808547460309579 0.244554391453326 0.11957687658353
"mb54" 0.675171131804526 0.0736183760421669 0.136063710144466 0.181394956774076 0.102633727242598
"mb55" 0.720775043086648 0.0657384292855352 0.305260654886344 0.197109467696783 0.130218639095345
"mb56" 0.896988169654389 0.0392360109296812 0.842050638122363 0.245037885488787 0.119907834411715
"mb57" 0.738629079855051 0.0675229307617423 0.255176019908236 0.214594049675226 0.126673965520359
"mb58" 0.788026959164794 0.0462028715607606 0.568324525385816 0.209419851181672 0.120883513195888
"mb59" 0.764662987780844 0.0450983237220162 0.528860573027574 0.207557074465837 0.125092508315285
"mb60" 0.710851763630325 0.068963226951448 0.232026324906986 0.190140851675717 0.122478547160074
"mb61" 0.880539874115891 0.0334159071949232 0.840377551717821 0.216363032494213 0.103081933684949
"mb62" 0.962327804329491 0.0359014995844994 0.947384808563291 0.234386714924398 0.116962536665582
"mb63" 0.808671783662888 0.0366006450968766 0.723439961512319 0.2282161062452 0.108302968339397
"mb64" 0.693599187935035 0.0708357689898607 0.158144672774342 0.180201149809113 0.104095135644976
"mb65" 0.617689438610794 0.0816623355254342 0.0209638492472201 0.150536986749548 0.0772534888053327
"mb66" 0.79701449896436 0.026879149360786 0.86322125977806 0.175490065631121 0.0855345584651158
"mb67" 0.719813109735201 0.0511978596586953 0.410348413412564 0.186247498308427 0.1204354442683
"mb68" 0.898328469089944 0.036550574673969 0.863169365994304 0.232940714084792 0.114687869892213
"mb69" 0.848247278537901 0.0362422659077138 0.800124545081013 0.231144013412923 0.112617857998217
"mb70" 0.877966101694915 0.033004639421109 0.842102531906118 0.207566601229714 0.101642922412567
"mb71" 0.697535106065133 0.0698200270472781 0.220949764861725 0.182686341798027 0.110153997011368
"mb72" 0.730178071356805 0.0512813693431711 0.421017473006436 0.196817237227872 0.123404369409542
"mb73" 0.760577098679004 0.0357466020152269 0.663086335940295 0.211427172115981 0.101020231559065
"mb74" 0.855821125674634 0.0427403467791566 0.747301778509282 0.268764540977534 0.130097499243142
"mb75" 0.62065070083856 0.0665895822561221 0.0842093491143065 0.144435213577298 0.074688586502386
"mb76" 0.725733569753475 0.0384503765911841 0.5894043104154 0.225965831133442 0.107073030570915
"mb77" 0.837878965234695 0.0345700410740711 0.81050228077384 0.217349817671625 0.106076178861852
"mb78" 0.757443981397596 0.0343871331553081 0.673619752984388 0.210676813416377 0.0974956986097732
"mb79" 0.578475751008818 0.0760199593464796 0 0.127517328665599 0.0506939543426843
"mb80" 0.627630709766177 0.0637344976140121 0.0947951730330556 0.143903975826505 0.0791716676156986
"mb81" 0.748914142916642 0.0612050229941488 0.326265161129267 0.219486212943419 0.134328372501555
"mb82" 0.80626289782086 0.0468009507922991 0.62986984551013 0.220697828295734 0.134062009512383
"mb83" 0.701482753756669 0.0541022980476053 0.336743637234473 0.169205147798966 0.108801825806469
"mb84" 0.599533894334763 0.0658430546273454 0.0633234855400132 0.139360142062116 0.0689733690281914
"mb85" 0.586006041249808 0.0668408693182518 0.0316983595536757 0.131906271804256 0.0638354641554009
"mb86" 0.649084924424226 0.0713612037302473 0.106475080602224 0.169093606905266 0.0895523181353653
"mb87" 0.679775940597275 0.0700417614659275 0.191321727312164 0.174720687656506 0.0919651136750403
"mb88" 0.589198294841701 0.0654208194238694 0.0422754442485844 0.132783476855092 0.0631346249442251
"mb89" 0.699976925596213 0.0663093414520975 0.231494556024545 0.183816579006127 0.107380068756725
"mb90" 0.811698083761579 0.0537841522662159 0.578982526993565 0.210258240873814 0.146541209501409
"mb91" 0.81998442036683 0.0311334957168394 0.793474766617098 0.201789681855748 0.0952699907607515
"mb92" 0.567849190392805 0.0727228363942337 0 0.124072346623047 0.0496737571852909
"mb93" 0.699285593825464 0.0720877224522868 0.161379535365517 0.19043534876593 0.104102330896709
"mb94" 0.75810654313839 0.0309641347567831 0.709561150479335 0.190250537853377 0.0881981836375765
"mb95" 0.577802358153785 0.0637673622241893 0.0420856064588382 0.125529360847278 0.0631195898524242
"mb96" 0.699081056821443 0.066220854814831 0.231494556024545 0.184083979884361 0.110326648081439
"mb97" 0.727922330097087 0.0488126426460343 0.423791601108629 0.178149597918692 0.106112988274944
"mb98" 0.563595761225972 0.0652647280495495 0.0211244345524436 0.126136759814582 0.0599806726558518
"mb99" 0.688485608361526 0.0712362964601637 0.139827377535474 0.187485463404314 0.100146760175074
"mb100" 0.689717819868574 0.0477408863302227 0.380352321740427 0.172767336720327 0.102593040957657
"mb101" 0.664029454335942 0.0519796261281562 0.284821263238512 0.168183480188772 0.107258002581372
"mb102" 0.6753300330033 0.0230633558211822 0.684672107866037 0.146414040032026 0.0676386420157438
"mb103" 0.713271541457395 0.0583003814254079 0.327196170010162 0.192420596030364 0.123853864341035
"mb104" 0.611158786370376 0.0787712379830386 0.0211893920713296 0.149022083047359 0.0775555863249675
"mb105" 0.61984084224658 0.0645600716350658 0.0957218124707388 0.144504372697553 0.0779036249065617
"mb106" 0.651585359504347 0.0346847049642549 0.508354740008397 0.15700099602324 0.0796370103182841
