"quartet" "cluster" "phylo" "mutual" "shared"
"mb49" 0.916497078710694 0.0323612488391069 0.895726187977871 0.209794847709832 0.10146222110628
"mb50" 0.884056350626118 0.0341615271596365 0.864649529927526 0.222106192363402 0.108285845925364
"mb51" 0.655527601227774 0.0691352104006816 0.0930626845009017 0.163703844101137 0.0941830093028516
"mb52" 0.692218497138968 0.07223452539284 0.175270441895729 0.182380856676614 0.110348239377254
"mb53" 0.680860027066735 0.0602701723116704 0.18695019875326 0.170792757762897 0.101468634378667
"mb54" 0.762965254149912 0.0491980222194902 0.479142597520756 0.220056836733813 0.124944010068383
"mb55" 0.898524898524898 0.0442020208115957 0.812667905714655 0.279570858722106 0.137206235262456
"mb56" 0.857575604584238 0.0386241110401662 0.768308495853397 0.245819707934334 0.115682306933404
"mb57" 0.874727476283071 0.0348727405572546 0.820979746432762 0.222089568503332 0.108806017806402
"mb58" 0.74354590898271 0.0562353608688762 0.375113427364043 0.204349888191746 0.130291266488497
"mb59" 0.752474857030172 0.0577379292034379 0.363668893888757 0.214631895516254 0.137688810381473
"mb60" 0.558302270416808 0.0660180616296278 0.0104658154715652 0.121970637718448 0.0414032114407669
"mb61" 1 0.0388208106901789 1 0.256945554573333 0.129764506065089
"mb62" 0.799201211954276 0.0436826206378182 0.604925809554067 0.203335021017902 0.116136486514888
"mb63" 0.744908183341835 0.0699735928297901 0.280423891787832 0.203637677875887 0.143375914476126
"mb64" 0.696024964488898 0.0521097148944962 0.385031186268496 0.175145476224328 0.119317721891991
"mb65" 0.80617774566474 0.0338493468019364 0.726201264543765 0.206571103777163 0.0960512245150987
"mb66" 0.715043684671843 0.0671700747074756 0.250118319163446 0.166620096261712 0.111680397873078
"mb67" 0.815285204991087 0.0351526777799836 0.757979974013932 0.224746435145835 0.106355863223005
"mb68" 0.762319299356336 0.0542912609783925 0.499932725192951 0.208800796623603 0.135157101308709
"mb69" 0.609743330664444 0.0656705490476438 0.0207086277391369 0.142678787988146 0.0671705645154417
"mb70" 0.854933220714776 0.0363385016899275 0.833316014931813 0.23196666362423 0.113144933575629
"mb71" 0.753455336575378 0.0380185082635127 0.599917651911492 0.225031896555452 0.102851918456468
"mb72" 0.799722238296395 0.0339548578565534 0.755245189893364 0.215488436037298 0.102336570739586
